recency,frequency,monetary_value,r_score,f_score,m_score,rfm_class,total_score,customer_title,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_class,address,postcode,state,country,property_valuation,customer_segment
26.0,7,4153.41,2,3,1,231,6,bronze,Male,38,1980-10-01,Manufacturing,Mass Customer,1,16.0,41.669600540374056,40,957 Veith Junction,2047,NSW,Australia,10,Recent
55.0,8,4855.4,3,1,1,311,5,basic,Male,68,1959-12-05,Retail,Mass Customer,0,18.0,62.494121235528645,60,4853 Gulseth Avenue,4503,QLD,Australia,5,Becoming Loyal
4.0,6,5417.83,1,3,1,131,5,silver,Male,57,1988-06-22,Financial Services,Mass Customer,1,13.0,33.94596487365947,30,9 Michigan Terrace,2145,NSW,Australia,8,Becoming Loyal
7.0,5,2950.0699999999997,1,2,3,123,6,silver,Female,22,1954-04-18,Financial Services,Mass Customer,0,16.0,68.125995948904,70,62 Steensland Road,4350,QLD,Australia,3,Recent
67.0,7,4098.21,3,3,3,333,9,basic,Female,2,1966-07-24,Property,Mass Customer,1,18.0,55.86017255759549,60,6 Homewood Avenue,2142,NSW,Australia,8,Evasive
46.0,8,3220.86,3,1,3,313,7,basic,Male,48,1956-09-24,Financial Services,Affluent Customer,1,7.0,65.68925871268424,70,15 Almo Lane,2029,NSW,Australia,10,Average
2.0,7,1275.2399999999996,1,3,4,134,8,silver,Male,44,1996-07-04,Property,Mass Customer,1,4.0,25.91294571515519,30,690 Glacier Hill Circle,2127,NSW,Australia,10,High Risk
20.0,8,3501.3700000000003,2,1,3,213,6,bronze,Female,26,1967-07-04,Financial Services,Affluent Customer,1,17.0,54.91559464018445,50,18 Elgar Park,2166,NSW,Australia,9,Recent
200.0,2,647.22,4,4,4,444,12,basic,Female,18,1970-02-04,Manufacturing,Mass Customer,0,10.0,52.325534611573325,50,39 3rd Drive,2026,NSW,Australia,10,Lost
47.0,6,4254.240000000001,3,3,1,331,7,basic,Female,47,1959-11-29,Property,High Net Worth,0,13.0,62.510548677570576,60,44516 Katie Parkway,2765,NSW,Australia,7,Average
5.0,6,4920.88,1,3,1,131,5,silver,Female,38,1979-07-06,IT,Mass Customer,1,22.0,42.90987241453985,40,41 Schurz Center,2749,NSW,Australia,8,Becoming Loyal
68.0,3,2190.05,3,4,2,342,9,basic,Female,58,1965-07-03,Retail,Mass Customer,1,16.0,56.91700466229305,60,68150 Boyd Road,2745,NSW,Australia,9,Evasive
3.0,5,546.6799999999997,1,2,4,124,7,silver,Male,73,1978-03-25,IT,High Net Worth,0,4.0,44.19121289381047,40,11474 Westend Hill,3752,VIC,Australia,8,Average
136.0,5,3799.97,4,2,3,423,9,basic,Male,21,1976-04-01,Financial Services,Affluent Customer,1,15.0,46.17071965986316,50,308 Jana Crossing,2153,NSW,Australia,10,Evasive
43.0,5,4549.2,2,2,1,221,5,bronze,Male,46,2002-03-11,Argiculture,High Net Worth,0,1.0,20.229050768647046,20,163 Straubel Trail,2217,NSW,Australia,10,Becoming Loyal
116.0,5,1203.2899999999997,4,2,4,424,10,basic,Male,67,1960-06-14,Retail,Mass Customer,0,18.0,61.96844309018685,60,68294 Clarendon Crossing,2230,NSW,Australia,10,Losing
4.0,5,2736.9,1,2,2,122,5,silver,Male,78,1993-02-27,Financial Services,Affluent Customer,0,8.0,29.261405984702133,30,9 Bonner Road,2070,NSW,Australia,12,Becoming Loyal
131.0,1,155.6500000000001,4,4,4,444,12,basic,Male,30,1985-01-27,Argiculture,Affluent Customer,1,12.0,37.3464453763392,40,07041 Briar Crest Lane,2213,NSW,Australia,10,Lost
22.0,4,2559.78,2,4,2,242,8,bronze,Male,93,1972-02-13,Manufacturing,Affluent Customer,1,16.0,50.302221333408816,50,29466 Hanson Pass,4208,QLD,Australia,6,High Risk
60.0,8,4979.94,3,1,1,311,5,basic,Female,28,1978-07-15,Property,Mass Customer,0,19.0,43.88456730902776,40,4763 Merchant Avenue,2756,NSW,Australia,8,Becoming Loyal
1.0,8,2868.16,1,1,3,113,5,silver,Female,20,1978-01-23,Retail,High Net Worth,1,18.0,44.358225221236765,40,439 Ridgeway Court,4213,QLD,Australia,9,Becoming Loyal
101.0,3,1657.5800000000002,4,4,4,444,12,basic,Male,79,1989-09-12,Financial Services,Mass Customer,0,7.0,32.72212044153561,30,2 Clyde Gallagher Lane,4170,QLD,Australia,5,Lost
211.0,2,82.25999999999999,4,4,4,444,12,basic,Male,37,1985-03-12,Argiculture,Affluent Customer,0,8.0,37.22597746803171,40,97455 Loeprich Lane,2153,NSW,Australia,9,Lost
47.0,5,1860.29,3,2,2,322,7,basic,Female,76,1968-10-02,Manufacturing,Mass Customer,0,18.0,53.667109044997694,50,9527 Ridgeway Street,2073,NSW,Australia,10,Average
28.0,10,5988.86,2,1,1,211,4,bronze,Male,11,1978-04-24,Entertainment,Mass Customer,0,13.0,44.109075683600814,40,7 Jackson Point,3561,VIC,Australia,1,Very Loyal
4.0,4,3249.02,1,4,3,143,8,silver,Female,58,1986-09-04,Health,High Net Worth,0,13.0,35.744769777250916,40,74 Anniversary Junction,2330,NSW,Australia,6,High Risk
78.0,5,2924.37,3,2,3,323,8,basic,Female,93,1965-06-28,Property,High Net Worth,0,19.0,56.930694197327995,60,2083 Spaight Court,3977,VIC,Australia,8,High Risk
80.0,6,1798.2,3,3,2,332,8,basic,Male,97,1967-02-26,IT,Mass Customer,1,18.0,55.26604673707898,60,2796 Caliangt Circle,2204,NSW,Australia,12,High Risk
0.0,9,2360.09,1,1,2,112,4,silver,Male,75,1989-03-04,Health,High Net Worth,1,7.0,33.2477985868774,30,289 Haas Street,2075,NSW,Australia,11,Very Loyal
18.0,9,3740.7599999999993,1,1,3,113,5,silver,Male,78,1974-04-23,Financial Services,Mass Customer,0,8.0,48.11189572781801,50,4423 Bartelt Parkway,2038,NSW,Australia,12,Becoming Loyal
74.0,6,2534.33,3,3,2,332,8,basic,Female,41,1966-02-03,Property,High Net Worth,1,7.0,56.32835465579053,60,5 Grim Center,2069,NSW,Australia,12,High Risk
4.0,9,5779.65,1,1,1,111,3,gold,Male,74,1967-01-22,Health,Mass Customer,1,14.0,55.36187348232358,60,73042 Roth Crossing,2100,NSW,Australia,11,Platinum
30.0,7,2990.7300000000005,2,3,3,233,8,bronze,Male,76,1984-11-12,Manufacturing,Mass Customer,0,11.0,37.55452630887033,40,171 Fordem Junction,2233,NSW,Australia,10,High Risk
9.0,8,5242.410000000001,1,1,1,111,3,gold,Male,69,1955-02-24,Financial Services,Affluent Customer,1,17.0,67.27176896272358,70,2640 Manley Point,2166,NSW,Australia,9,Platinum
34.0,3,2967.4399999999996,2,4,3,243,9,bronze,Female,98,1980-09-11,Health,Mass Customer,0,12.0,41.724358680513824,40,3 Hintze Pass,3133,VIC,Australia,10,Evasive
79.0,3,2976.41,3,4,3,343,10,basic,Male,63,1976-07-16,Retail,Mass Customer,1,10.0,45.880501517122376,50,2 Mcbride Road,3070,VIC,Australia,10,Losing
33.0,7,4902.210000000001,2,3,1,231,6,bronze,Male,33,1974-08-07,Manufacturing,Mass Customer,0,21.0,47.82167758507723,50,67234 Transport Hill,2777,NSW,Australia,7,Recent
38.0,4,3050.8099999999995,2,4,3,243,9,bronze,Female,67,1960-12-25,Manufacturing,Affluent Customer,1,8.0,61.437289130831076,60,72 Dorton Crossing,3133,VIC,Australia,10,Evasive
70.0,3,1135.25,3,4,4,344,11,basic,Male,33,1968-08-31,Manufacturing,Mass Customer,0,15.0,53.75472206922133,50,6 Heffernan Center,2125,NSW,Australia,11,Inactive
102.0,8,4911.21,4,1,1,411,6,basic,Male,16,1979-07-27,Financial Services,Mass Customer,1,10.0,42.85237636739309,40,6088 Roxbury Hill,2766,NSW,Australia,8,Recent
141.0,4,1620.7500000000002,4,4,4,444,12,basic,Female,19,1956-03-17,Health,Mass Customer,0,7.0,66.21219895101903,70,105 Shelley Alley,2209,NSW,Australia,10,Lost
2.0,9,4557.65,1,1,1,111,3,gold,Male,97,1998-06-13,Financial Services,Mass Customer,0,3.0,23.971769647200336,20,079 Merry Park,2160,NSW,Australia,9,Platinum
11.0,2,877.4,1,4,4,144,9,silver,Male,80,1968-05-11,Financial Services,Mass Customer,1,4.0,54.06136765400404,50,8722 Summit Alley,2065,NSW,Australia,12,Evasive
8.0,4,2589.89,1,4,2,142,7,silver,Male,83,1975-12-29,Manufacturing,High Net Worth,0,11.0,46.42808291852008,50,9554 Artisan Pass,2150,NSW,Australia,10,Average
42.0,7,2587.0099999999998,2,3,2,232,7,bronze,Male,51,1956-11-27,Manufacturing,Affluent Customer,0,16.0,65.51403266423696,70,55850 Butterfield Road,2168,NSW,Australia,9,Average
116.0,4,895.4499999999999,4,4,4,444,12,basic,Female,49,1997-04-21,Financial Services,Affluent Customer,1,4.0,25.116214776121534,30,68 Little Fleur Crossing,2046,NSW,Australia,12,Lost
64.0,7,3112.8000000000006,3,3,3,333,9,basic,Female,40,1978-06-06,Health,Mass Customer,1,9.0,43.991345682300306,40,85688 New Castle Crossing,4171,QLD,Australia,10,Evasive
89.0,4,3475.0399999999995,4,4,3,443,11,basic,Female,25,2001-09-17,Manufacturing,Mass Customer,0,1.0,20.708184494870036,20,8611 Loomis Lane,2155,NSW,Australia,10,Inactive
1.0,3,2513.69,1,4,2,142,7,silver,Male,54,1966-07-03,Health,High Net Worth,1,18.0,55.917668604742246,60,7909 Pierstorff Crossing,2517,NSW,Australia,9,Average
81.0,4,2343.9700000000003,3,4,2,342,9,basic,Female,97,1990-07-01,Financial Services,Mass Customer,1,9.0,31.922651595494962,30,01 Muir Parkway,2096,NSW,Australia,12,Evasive
14.0,7,2621.55,1,3,2,132,6,silver,Male,23,2000-07-31,Financial Services,Affluent Customer,0,1.0,21.83894008875629,20,5 Moose Road,3977,VIC,Australia,8,Recent
47.0,6,5742.1900000000005,3,3,1,331,7,basic,Female,88,1975-08-12,Retail,High Net Worth,0,12.0,46.808651992491484,50,0 David Terrace,3204,VIC,Australia,11,Average
70.0,4,2195.2599999999998,3,4,2,342,9,basic,Female,10,1985-10-23,Entertainment,Affluent Customer,0,8.0,36.60994839145929,40,60 Oneill Street,2170,NSW,Australia,9,Evasive
14.0,8,3135.8700000000003,1,1,3,113,5,silver,Male,77,1981-12-21,Health,Mass Customer,0,18.0,40.44849401525718,40,8194 Sachtjen Drive,3844,VIC,Australia,1,Becoming Loyal
12.0,8,2447.54,1,1,2,112,4,silver,Male,49,1999-02-05,Manufacturing,Affluent Customer,1,2.0,23.322885686544062,20,0349 Farmco Terrace,2168,NSW,Australia,8,Very Loyal
5.0,10,6917.34,1,1,1,111,3,gold,Female,75,1982-02-23,Manufacturing,Mass Customer,0,15.0,40.27326796680992,40,185 Pennsylvania Way,4226,QLD,Australia,6,Platinum
129.0,2,869.3200000000003,4,4,4,444,12,basic,Male,80,1978-09-02,Financial Services,High Net Worth,1,4.0,43.75040986568532,40,7 Carberry Crossing,2485,NSW,Australia,2,Lost
111.0,4,2892.0899999999997,4,4,3,443,11,basic,Male,82,1957-10-02,Manufacturing,Mass Customer,0,15.0,64.66801939907752,60,53 Talisman Trail,2097,NSW,Australia,9,Inactive
8.0,5,2695.2200000000003,1,2,2,122,5,silver,Male,87,1979-04-19,Financial Services,Mass Customer,1,12.0,43.12342916108495,40,5 Prairie Rose Road,4817,QLD,Australia,2,Becoming Loyal
191.0,4,3245.75,4,4,3,443,11,basic,Female,85,1988-12-03,Financial Services,High Net Worth,0,15.0,33.49694812451335,30,84 Florence Parkway,2516,NSW,Australia,8,Inactive
2.0,7,4054.25,1,3,3,133,7,silver,Female,27,1995-05-03,Health,High Net Worth,1,5.0,27.08476991414627,30,739 Elmside Way,3074,VIC,Australia,8,Average
83.0,10,3345.0099999999998,3,1,3,313,7,basic,Female,94,1960-03-17,Property,Mass Customer,0,16.0,62.21211681380883,60,684 Northport Circle,2213,NSW,Australia,10,Average
11.0,3,1096.46,1,4,4,144,9,silver,Male,53,1992-10-15,Health,Mass Customer,1,3.0,29.63102343064558,30,8 Hagan Hill,4508,QLD,Australia,4,Evasive
23.0,10,3993.7100000000005,2,1,3,213,6,bronze,Female,81,1974-12-03,Financial Services,Mass Customer,0,19.0,47.49860455825259,50,0 Pearson Crossing,4405,QLD,Australia,1,Recent
137.0,4,2193.06,4,4,2,442,10,basic,Male,73,1977-07-17,Property,Mass Customer,1,12.0,44.87842755256459,40,10918 Merry Way,2452,NSW,Australia,5,Losing
178.0,4,2753.7499999999995,4,4,2,442,10,basic,Male,64,1985-07-20,Financial Services,High Net Worth,1,19.0,36.8700495571232,40,97 Coolidge Trail,2142,NSW,Australia,9,Losing
76.0,2,1779.58,3,4,4,344,11,basic,Male,32,1997-07-18,Manufacturing,Mass Customer,0,1.0,24.875278959506545,20,58 Helena Hill,2205,NSW,Australia,7,Inactive
205.0,6,5494.91,4,3,1,431,8,basic,Female,57,1964-10-16,Retail,High Net Worth,0,8.0,57.628860484110064,60,352 Forster Place,4132,QLD,Australia,3,High Risk
7.0,6,2780.7200000000003,1,3,2,132,6,silver,Female,5,1963-07-07,Manufacturing,Mass Customer,1,9.0,58.9074630563737,60,12306 Lawn Street,2145,NSW,Australia,8,Recent
26.0,5,803.8900000000001,2,2,4,224,8,bronze,Male,12,1977-06-13,Financial Services,Mass Customer,1,16.0,44.97151639080219,40,19392 7th Trail,4744,QLD,Australia,1,High Risk
14.0,6,2946.420000000001,1,3,3,133,7,silver,Female,34,1997-08-01,Telecommunications,Affluent Customer,1,5.0,24.836948261408704,20,1605 Northfield Junction,2158,NSW,Australia,11,Average
115.0,7,4549.5,4,3,1,431,8,basic,Female,18,1975-01-18,IT,Mass Customer,0,3.0,47.372660835931114,50,9674 Graceland Junction,3201,VIC,Australia,6,High Risk
20.0,8,3543.2000000000003,2,1,3,213,6,bronze,Male,46,1973-05-26,Manufacturing,High Net Worth,1,7.0,49.0208808541382,50,638 Thackeray Junction,4178,QLD,Australia,3,Recent
27.0,5,1496.4499999999998,2,2,4,224,8,bronze,Male,27,1987-11-21,Property,High Net Worth,0,10.0,34.53187697315501,30,869 Forster Circle,2112,NSW,Australia,10,High Risk
64.0,7,3377.120000000001,3,3,3,333,9,basic,Male,5,1985-04-28,Financial Services,Affluent Customer,1,13.0,37.097295838703246,40,0 Golden Leaf Crossing,2033,NSW,Australia,9,Evasive
26.0,9,5161.44,2,1,1,211,4,bronze,Male,1,1964-07-28,Telecommunications,Affluent Customer,0,4.0,57.84789304466914,60,215 Lindbergh Trail,4401,QLD,Australia,1,Very Loyal
3.0,6,2699.9000000000005,1,3,2,132,6,silver,Male,9,1994-05-20,Manufacturing,Mass Customer,0,2.0,28.03756155257827,30,829 Washington Crossing,3186,VIC,Australia,9,Recent
159.0,3,2138.3500000000004,4,4,2,442,10,basic,Male,67,1954-06-25,Financial Services,High Net Worth,1,10.0,67.93981827242878,70,585 Loomis Court,2097,NSW,Australia,11,Losing
4.0,11,3917.34,1,1,3,113,5,silver,Male,57,1967-08-07,Health,Affluent Customer,0,17.0,54.822505801946846,50,68063 Blue Bill Park Center,3058,VIC,Australia,9,Becoming Loyal
13.0,4,2474.77,1,4,2,142,7,silver,Male,19,1957-09-01,Argiculture,Mass Customer,1,11.0,64.75289451629416,60,15673 Farmco Point,4017,QLD,Australia,6,Average
28.0,7,3140.2999999999997,2,3,3,233,8,bronze,Male,33,1997-07-21,Financial Services,Mass Customer,0,4.0,24.86706523848558,20,7245 Cottonwood Center,2285,NSW,Australia,5,High Risk
194.0,2,217.05999999999995,4,4,4,444,12,basic,Male,34,1985-04-08,Manufacturing,Mass Customer,0,8.0,37.152053978843014,40,20382 Spohn Alley,2219,NSW,Australia,11,Lost
34.0,6,5034.16,2,3,1,231,6,bronze,Female,32,1973-12-06,Health,Mass Customer,1,10.0,48.48972689478243,50,12375 Cambridge Pass,2065,NSW,Australia,11,Recent
18.0,4,1680.6599999999999,1,4,4,144,9,silver,Female,41,1995-01-31,Health,Mass Customer,1,1.0,27.336657358789214,30,939 Coleman Pass,4509,QLD,Australia,7,Evasive
75.0,4,2446.51,3,4,2,342,9,basic,Male,6,1983-08-23,Financial Services,Affluent Customer,0,17.0,38.77837074099419,40,69914 Bowman Place,2330,NSW,Australia,7,Evasive
0.0,7,5665.410000000001,1,3,1,131,5,silver,Male,36,1965-01-31,Manufacturing,Mass Customer,1,13.0,57.33590443436229,60,34457 Springview Street,2759,NSW,Australia,9,Becoming Loyal
158.0,2,1966.88,4,4,2,442,10,basic,Female,5,1981-03-03,Financial Services,Mass Customer,0,16.0,41.25070076830481,40,992 Old Shore Trail,2069,NSW,Australia,12,Losing
64.0,7,5522.509999999999,3,3,1,331,7,basic,Female,73,1977-07-28,Entertainment,Mass Customer,1,12.0,44.84831057548771,40,453 Sheridan Street,2747,NSW,Australia,8,Average
8.0,3,1088.42,1,4,4,144,9,silver,Male,4,1985-12-28,Manufacturing,Mass Customer,0,10.0,36.42924652899804,40,63344 Holmberg Crossing,2025,NSW,Australia,10,Evasive
16.0,5,3095.3699999999994,1,2,3,123,6,silver,Female,23,1979-09-09,Financial Services,Mass Customer,1,11.0,42.731908459085595,40,9 Huxley Circle,3191,VIC,Australia,11,Recent
135.0,3,294.0099999999999,4,4,4,444,12,basic,Male,97,1974-11-23,Financial Services,Affluent Customer,0,16.0,47.52598362832247,50,0 Hazelcrest Road,3025,VIC,Australia,8,Lost
66.0,6,2935.3700000000003,3,3,3,333,9,basic,Male,90,1987-05-12,Health,Affluent Customer,0,13.0,35.06029302550379,40,80 Duke Terrace,2233,NSW,Australia,10,Evasive
93.0,2,2614.1600000000003,4,4,2,442,10,basic,Male,5,1964-07-15,Health,Mass Customer,0,18.0,57.88348583576,60,860 Hintze Lane,2154,NSW,Australia,11,Losing
98.0,3,1329.61,4,4,4,444,12,basic,Male,90,1979-08-12,IT,Mass Customer,0,15.0,42.80856985528127,40,5 Corry Court,2119,NSW,Australia,10,Lost
114.0,2,1101.28,4,4,4,444,12,basic,Female,58,1976-09-06,Entertainment,High Net Worth,1,14.0,45.73813035275898,50,65105 Sommers Pass,3016,VIC,Australia,10,Lost
198.0,3,786.1400000000001,4,4,4,444,12,basic,Female,55,1999-08-07,Retail,Affluent Customer,1,1.0,22.821848704265165,20,2054 Sommers Pass,4113,QLD,Australia,4,Lost
8.0,8,6107.04,1,1,1,111,3,gold,Male,61,1984-03-25,Argiculture,Mass Customer,1,12.0,38.18972073449166,40,22371 Miller Trail,2032,NSW,Australia,10,Platinum
63.0,7,4063.6599999999994,3,3,3,333,9,basic,Male,54,1955-06-12,Manufacturing,Affluent Customer,0,6.0,66.97607500596882,70,35807 Oneill Way,4300,QLD,Australia,4,Evasive
14.0,9,5993.34,1,1,1,111,3,gold,Female,95,1969-10-27,Health,High Net Worth,1,17.0,52.59932531227218,50,75612 Clarendon Junction,4352,QLD,Australia,6,Platinum
61.0,3,696.26,3,4,4,344,11,basic,Male,20,1957-10-19,Telecommunications,High Net Worth,1,5.0,64.62147497995872,60,93 Iowa Junction,2116,NSW,Australia,9,Inactive
234.0,3,1779.68,4,4,4,444,12,basic,Male,80,1975-06-02,Health,High Net Worth,0,21.0,47.00304338998767,50,48 Cascade Terrace,3057,VIC,Australia,8,Lost
18.0,8,4833.139999999999,1,1,1,111,3,gold,Female,62,1970-12-04,Manufacturing,Mass Customer,0,10.0,51.495948788455806,50,13950 Jackson Avenue,2099,NSW,Australia,11,Platinum
11.0,7,2348.66,1,3,2,132,6,silver,Male,54,1988-09-12,Manufacturing,Affluent Customer,1,6.0,33.721456499086415,30,35386 Mockingbird Road,3749,VIC,Australia,4,Recent
15.0,9,6549.51,1,1,1,111,3,gold,Female,99,1997-01-02,Health,Affluent Customer,0,1.0,25.41464663988328,30,2 Randy Point,2766,NSW,Australia,8,Platinum
11.0,10,7628.24,1,1,1,111,3,gold,Female,93,1989-11-26,Health,Mass Customer,0,12.0,32.51677741601147,30,6898 Redwing Park,2148,NSW,Australia,9,Platinum
64.0,5,2170.54,3,2,2,322,7,basic,Male,36,1975-11-28,Manufacturing,Affluent Customer,0,5.0,46.51295803573672,50,52273 Bay Place,3145,VIC,Australia,11,Average
22.0,4,3025.5600000000004,2,4,3,243,9,bronze,Male,39,1992-04-13,Property,Mass Customer,0,10.0,30.137536226938455,30,272 Montana Avenue,2021,NSW,Australia,8,Evasive
37.0,12,4108.599999999999,2,1,3,213,6,bronze,Female,25,1989-11-09,Financial Services,High Net Worth,0,4.0,32.563321835130274,30,82520 Mifflin Drive,2333,NSW,Australia,5,Recent
40.0,3,1814.59,2,4,2,242,8,bronze,Male,23,1966-05-11,Manufacturing,High Net Worth,1,6.0,56.06277767611264,60,4 Dayton Terrace,2280,NSW,Australia,9,High Risk
11.0,7,4065.3499999999995,1,3,3,133,7,silver,Female,16,1971-09-17,Argiculture,Affluent Customer,0,14.0,50.71016947745011,50,216 Barnett Junction,4120,QLD,Australia,8,Average
50.0,5,2365.2400000000002,3,2,2,322,7,basic,Female,49,1982-11-21,Manufacturing,Mass Customer,0,9.0,39.53129516791603,40,8256 Annamark Court,3638,VIC,Australia,1,Average
