recency,frequency,monetary_value,r_score,f_score,m_score,rfm_class,total_score,customer_title,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_class,address,postcode,state,country,property_valuation,customer_segment
13.0,9,5077.97,1,1,1,111,3,gold,Female,52,1963-03-19,Financial Services,Mass Customer,1,17.0,59.20863282714243,60,00 Marcy Crossing,3115,VIC,Australia,9,Platinum
14.0,8,5916.6900000000005,1,1,1,111,3,gold,Female,55,1989-09-04,IT,High Net Worth,0,8.0,32.744023697591516,30,12845 Paget Lane,2026,NSW,Australia,12,Platinum
5.0,9,4585.400000000001,1,1,1,111,3,gold,Male,33,1978-03-29,Health,Mass Customer,1,16.0,44.18026126578251,40,29 Portage Street,4070,QLD,Australia,7,Platinum
1.0,8,6854.589999999999,1,1,1,111,3,gold,Female,80,1996-10-28,Financial Services,Mass Customer,1,1.0,25.59534850234452,30,1 Bay Pass,3219,VIC,Australia,5,Platinum
3.0,11,8252.73,1,1,1,111,3,gold,Female,85,1981-05-05,Health,Affluent Customer,1,15.0,41.078212626864534,40,5390 Park Meadow Park,2222,NSW,Australia,10,Platinum
12.0,10,5862.450000000001,1,1,1,111,3,gold,Female,72,1961-04-22,Health,Mass Customer,0,14.0,61.11421610400644,60,9501 Melby Avenue,4178,QLD,Australia,7,Platinum
2.0,8,5263.13,1,1,1,111,3,gold,Female,14,1965-04-13,Health,High Net Worth,1,18.0,57.13877512985912,60,7 Porter Parkway,2261,NSW,Australia,8,Platinum
14.0,10,6752.63,1,1,1,111,3,gold,Male,94,1975-09-22,Financial Services,Affluent Customer,0,18.0,46.69639780520495,50,0 Waubesa Alley,2265,NSW,Australia,6,Platinum
8.0,13,4136.84,1,1,1,111,3,gold,Female,30,1960-04-20,Financial Services,Mass Customer,1,9.0,62.119027975571214,60,692 Leroy Parkway,3043,VIC,Australia,9,Platinum
5.0,11,5875.139999999999,1,1,1,111,3,gold,Female,17,1959-01-23,Financial Services,Mass Customer,0,17.0,63.35929984973701,60,74164 Village Green Parkway,3037,VIC,Australia,9,Platinum
8.0,13,8903.62,1,1,1,111,3,gold,Female,7,1993-10-10,Financial Services,Mass Customer,1,9.0,28.64537690812972,30,78258 Hanover Plaza,3070,VIC,Australia,10,Platinum
16.0,8,4659.0,1,1,1,111,3,gold,Male,36,1977-11-30,Health,High Net Worth,0,11.0,44.506072199614145,40,02 Bartelt Center,2745,NSW,Australia,8,Platinum
4.0,9,6979.28,1,1,1,111,3,gold,Male,18,1982-10-27,Health,High Net Worth,1,11.0,39.599742843090745,40,83148 Rowland Alley,2530,NSW,Australia,8,Platinum
10.0,9,4833.73,1,1,1,111,3,gold,Female,21,1953-09-17,Manufacturing,Affluent Customer,0,15.0,68.70917014139256,70,83975 Rowland Place,2166,NSW,Australia,6,Platinum
16.0,8,4675.19,1,1,1,111,3,gold,Male,0,1987-01-08,Financial Services,High Net Worth,0,19.0,35.399793494370364,40,184 Hoepker Way,2197,NSW,Australia,9,Platinum
5.0,10,6917.34,1,1,1,111,3,gold,Female,75,1982-02-23,Manufacturing,Mass Customer,0,15.0,40.27326796680992,40,185 Pennsylvania Way,4226,QLD,Australia,6,Platinum
8.0,11,5564.08,1,1,1,111,3,gold,Female,95,1968-03-12,Manufacturing,Mass Customer,0,8.0,54.22564207442335,50,17 Nevada Drive,2122,NSW,Australia,11,Platinum
8.0,8,6107.04,1,1,1,111,3,gold,Male,61,1984-03-25,Argiculture,Mass Customer,1,12.0,38.18972073449166,40,22371 Miller Trail,2032,NSW,Australia,10,Platinum
10.0,8,4278.6,1,1,1,111,3,gold,Male,12,1975-07-12,Entertainment,High Net Worth,1,10.0,46.893527109708124,50,18 Forest Avenue,2204,NSW,Australia,9,Platinum
7.0,13,5402.470000000001,1,1,1,111,3,gold,Female,60,1976-09-23,Health,High Net Worth,0,13.0,45.69158593364017,50,9427 Tennyson Plaza,2759,NSW,Australia,8,Platinum
15.0,9,4413.06,1,1,1,111,3,gold,Female,99,1995-08-10,Health,Affluent Customer,1,19.0,26.813717120454406,30,06069 Hayes Road,2099,NSW,Australia,8,Platinum
1.0,9,4156.31,1,1,1,111,3,gold,Male,10,1992-03-10,Manufacturing,Mass Customer,0,7.0,30.230625065176064,30,2 Thierer Place,4053,QLD,Australia,8,Platinum
18.0,9,6120.46,1,1,1,111,3,gold,Female,45,1995-09-12,Manufacturing,Mass Customer,1,11.0,26.723366189223785,30,786 Rowland Court,2035,NSW,Australia,11,Platinum
7.0,8,5673.639999999999,1,1,1,111,3,gold,Female,29,1959-07-08,Financial Services,Affluent Customer,1,12.0,62.90480728657692,60,1 Jenifer Court,4280,QLD,Australia,4,Platinum
0.0,9,5563.629999999999,1,1,1,111,3,gold,Male,46,1980-09-14,Retail,High Net Worth,0,7.0,41.71614495949286,40,1786 Orin Street,2327,NSW,Australia,3,Platinum
2.0,8,5025.64,1,1,1,111,3,gold,Male,13,1972-03-26,Manufacturing,Mass Customer,1,5.0,50.187229239115304,50,425 Thierer Junction,2761,NSW,Australia,8,Platinum
2.0,11,4685.820000000001,1,1,1,111,3,gold,Female,30,1976-12-26,Health,Mass Customer,0,15.0,45.43422267498325,50,98 Service Court,2018,NSW,Australia,8,Platinum
11.0,8,4227.84,1,1,1,111,3,gold,Male,2,1953-12-30,Retail,Mass Customer,0,14.0,68.42442781266575,70,14254 Hallows Parkway,4615,QLD,Australia,1,Platinum
2.0,13,7817.1,1,1,1,111,3,gold,Male,78,1983-04-06,Retail,Mass Customer,0,6.0,39.15893981496559,40,3126 Butterfield Pass,2573,NSW,Australia,8,Platinum
14.0,14,7493.23,1,1,1,111,3,gold,Male,13,1956-09-25,Property,High Net Worth,0,17.0,65.68652080567725,70,567 Scott Park,4118,QLD,Australia,5,Platinum
7.0,9,5082.02,1,1,1,111,3,gold,Female,78,1961-11-11,Financial Services,Mass Customer,0,19.0,60.558420981587766,60,8 Anderson Lane,2214,NSW,Australia,9,Platinum
16.0,9,8237.49,1,1,1,111,3,gold,Female,34,1992-11-27,Manufacturing,Mass Customer,0,9.0,29.513293429345076,30,2121 Dapin Center,3977,VIC,Australia,7,Platinum
1.0,11,10336.77,1,1,1,111,3,gold,Female,19,1977-03-10,Financial Services,Mass Customer,1,11.0,45.231617556466105,50,5 Schurz Place,4350,QLD,Australia,6,Platinum
12.0,10,7204.660000000001,1,1,1,111,3,gold,Male,19,1997-02-09,Health,Mass Customer,0,4.0,25.310606173617717,30,1108 Nevada Junction,4701,QLD,Australia,2,Platinum
8.0,10,5878.470000000001,1,1,1,111,3,gold,Female,87,1989-11-25,Financial Services,Mass Customer,1,14.0,32.51951532301846,30,515 Warrior Pass,4226,QLD,Australia,9,Platinum
13.0,9,4508.75,1,1,1,111,3,gold,Female,80,1963-11-14,Health,Mass Customer,0,16.0,58.551535145465195,60,7827 Spohn Court,2093,NSW,Australia,9,Platinum
8.0,9,4382.48,1,1,1,111,3,gold,Male,69,1956-08-15,Manufacturing,High Net Worth,0,9.0,65.79877499296377,70,83 Brickson Park Drive,3029,VIC,Australia,8,Platinum
10.0,8,4153.82,1,1,1,111,3,gold,Female,98,1994-02-04,Argiculture,High Net Worth,0,5.0,28.325041788312063,30,3519 Schurz Alley,4034,QLD,Australia,7,Platinum
14.0,8,5572.11,1,1,1,111,3,gold,Female,62,1974-04-09,Argiculture,Mass Customer,1,5.0,48.150226425915854,50,77433 Sunfield Court,3179,VIC,Australia,9,Platinum
18.0,8,4772.56,1,1,1,111,3,gold,Male,43,1967-11-15,Health,Mass Customer,0,7.0,54.54871510124799,50,8647 La Follette Court,2067,NSW,Australia,9,Platinum
12.0,12,6835.960000000001,1,1,1,111,3,gold,Female,76,1982-11-06,Health,Affluent Customer,1,11.0,39.572363773020854,40,3 Barnett Way,2763,NSW,Australia,9,Platinum
1.0,9,6692.389999999999,1,1,1,111,3,gold,Male,97,1999-07-28,Retail,Mass Customer,0,2.0,22.84922777433505,20,415 Walton Lane,4883,QLD,Australia,3,Platinum
1.0,9,5928.23,1,1,1,111,3,gold,Male,62,1992-12-13,Health,Affluent Customer,0,3.0,29.469486917233258,30,95 Eliot Street,4514,QLD,Australia,3,Platinum
9.0,8,5400.88,1,1,1,111,3,gold,Female,85,1995-03-07,Financial Services,Affluent Customer,0,4.0,27.240830613544613,30,00 Cordelia Trail,2138,NSW,Australia,9,Platinum
9.0,8,6871.539999999999,1,1,1,111,3,gold,Female,26,1974-05-31,Health,Mass Customer,1,10.0,48.00785526155245,50,9610 Gateway Trail,3429,VIC,Australia,5,Platinum
4.0,9,5793.33,1,1,1,111,3,gold,Male,59,1990-04-11,Health,Affluent Customer,1,19.0,32.14442206306103,30,4 Jenifer Hill,3147,VIC,Australia,12,Platinum
4.0,12,6996.35,1,1,1,111,3,gold,Male,38,1969-05-27,Manufacturing,Mass Customer,0,16.0,53.01822508434142,50,80302 Stang Parkway,3677,VIC,Australia,1,Platinum
12.0,9,6420.699999999999,1,1,1,111,3,gold,Male,68,1981-03-15,Financial Services,Mass Customer,0,3.0,41.21784588422095,40,44621 Linden Drive,2155,NSW,Australia,10,Platinum
5.0,9,5371.57,1,1,1,111,3,gold,Male,28,1998-07-20,Retail,Mass Customer,1,3.0,23.870467087941762,20,86 Hansons Parkway,2211,NSW,Australia,8,Platinum
7.0,10,8437.43,1,1,1,111,3,gold,Male,35,1974-02-01,Manufacturing,High Net Worth,0,9.0,48.33366619538408,50,46 Victoria Center,2770,NSW,Australia,9,Platinum
18.0,8,4833.139999999999,1,1,1,111,3,gold,Female,62,1970-12-04,Manufacturing,Mass Customer,0,10.0,51.495948788455806,50,13950 Jackson Avenue,2099,NSW,Australia,11,Platinum
15.0,9,6549.51,1,1,1,111,3,gold,Female,99,1997-01-02,Health,Affluent Customer,0,1.0,25.41464663988328,30,2 Randy Point,2766,NSW,Australia,8,Platinum
11.0,10,7628.24,1,1,1,111,3,gold,Female,93,1989-11-26,Health,Mass Customer,0,12.0,32.51677741601147,30,6898 Redwing Park,2148,NSW,Australia,9,Platinum
12.0,9,6243.82,1,1,1,111,3,gold,Male,54,1993-01-22,Health,High Net Worth,0,9.0,29.35997063695372,30,81183 Maple Wood Plaza,4152,QLD,Australia,8,Platinum
14.0,9,4572.03,1,1,1,111,3,gold,Female,28,1961-10-29,Financial Services,Mass Customer,1,9.0,60.59401377267862,60,9 Oak Park,4205,QLD,Australia,4,Platinum
5.0,10,4718.43,1,1,1,111,3,gold,Female,56,1978-08-19,Manufacturing,High Net Worth,0,12.0,43.78874056378316,40,906 Toban Lane,2093,NSW,Australia,10,Platinum
14.0,9,5993.34,1,1,1,111,3,gold,Female,95,1969-10-27,Health,High Net Worth,1,17.0,52.59932531227218,50,75612 Clarendon Junction,4352,QLD,Australia,6,Platinum
18.0,8,4874.549999999999,1,1,1,111,3,gold,Male,92,1995-12-17,Financial Services,Affluent Customer,1,4.0,26.46052711655289,30,333 Bunting Crossing,2536,NSW,Australia,4,Platinum
3.0,9,7365.480000000001,1,1,1,111,3,gold,Male,80,1995-01-05,Health,Affluent Customer,0,1.0,27.407842940970912,30,7163 2nd Point,3931,VIC,Australia,8,Platinum
0.0,12,8143.929999999999,1,1,1,111,3,gold,Female,81,1974-06-14,Argiculture,High Net Worth,1,11.0,47.96952456345461,50,882 Mitchell Place,4151,QLD,Australia,4,Platinum
4.0,9,4665.71,1,1,1,111,3,gold,Male,87,1958-10-06,Financial Services,High Net Worth,0,10.0,63.657731713498755,60,0680 Veith Court,3939,VIC,Australia,8,Platinum
4.0,8,8104.580000000001,1,1,1,111,3,gold,Female,88,1976-08-16,Manufacturing,Mass Customer,1,19.0,45.795626399905736,50,718 Fair Oaks Point,2068,NSW,Australia,12,Platinum
2.0,8,5470.700000000001,1,1,1,111,3,gold,Female,11,1996-10-20,Manufacturing,Mass Customer,0,3.0,25.61725175840043,30,7107 Manitowish Road,4815,QLD,Australia,2,Platinum
6.0,11,4124.42,1,1,1,111,3,gold,Male,65,1999-05-19,Argiculture,Mass Customer,0,1.0,23.040881264824243,20,259 Barnett Crossing,2265,NSW,Australia,5,Platinum
7.0,9,7283.860000000001,1,1,1,111,3,gold,Male,7,1957-02-04,Property,Affluent Customer,1,19.0,65.32511708075477,70,7 Havey Point,4005,QLD,Australia,2,Platinum
15.0,8,6148.629999999999,1,1,1,111,3,gold,Male,10,1978-10-20,Manufacturing,Mass Customer,1,10.0,43.61899032934987,40,6876 Mandrake Avenue,2298,NSW,Australia,6,Platinum
3.0,11,7321.5,1,1,1,111,3,gold,Male,61,1965-08-27,Health,High Net Worth,1,19.0,56.766419776908684,60,29639 Porter Center,4221,QLD,Australia,8,Platinum
11.0,9,5763.13,1,1,1,111,3,gold,Female,71,1969-08-12,Retail,High Net Worth,0,12.0,52.8074062448033,50,816 Spohn Center,2036,NSW,Australia,10,Platinum
12.0,8,4285.9400000000005,1,1,1,111,3,gold,Male,37,1993-03-21,Financial Services,High Net Worth,1,6.0,29.201172030548385,30,2782 Stephen Trail,2216,NSW,Australia,10,Platinum
4.0,9,5011.9,1,1,1,111,3,gold,Male,83,1959-09-12,Property,Affluent Customer,0,20.0,62.72410542411568,60,61949 7th Road,4573,QLD,Australia,8,Platinum
3.0,9,4381.4800000000005,1,1,1,111,3,gold,Female,12,1977-01-06,Financial Services,High Net Worth,0,16.0,45.40410569790638,50,58047 Westport Road,2040,NSW,Australia,12,Platinum
17.0,11,8366.149999999998,1,1,1,111,3,gold,Male,30,1977-11-30,Retail,Mass Customer,0,14.0,44.506072199614145,40,44997 Anniversary Way,4114,QLD,Australia,3,Platinum
6.0,8,4608.0,1,1,1,111,3,gold,Male,58,1976-10-28,Argiculture,Mass Customer,1,16.0,45.595759188395576,50,6933 Leroy Parkway,4209,QLD,Australia,4,Platinum
8.0,9,10640.300000000001,1,1,1,111,3,gold,Male,14,1991-05-12,Financial Services,Affluent Customer,0,2.0,31.060210888293582,30,07236 Jenifer Point,2763,NSW,Australia,10,Platinum
1.0,10,7390.75,1,1,1,111,3,gold,Male,89,1976-01-12,Health,Mass Customer,1,9.0,46.38975222042224,50,84749 Holy Cross Terrace,2767,NSW,Australia,8,Platinum
14.0,9,6634.14,1,1,1,111,3,gold,Female,17,1978-07-07,Retail,Affluent Customer,1,16.0,43.906470565083666,40,26 Lotheville Court,2085,NSW,Australia,11,Platinum
17.0,9,4918.87,1,1,1,111,3,gold,Female,92,1988-05-13,Financial Services,Mass Customer,1,3.0,34.05548115393901,30,029 Springview Place,2177,NSW,Australia,8,Platinum
0.0,9,5383.48,1,1,1,111,3,gold,Female,44,1978-08-07,Financial Services,Mass Customer,0,11.0,43.82159544786702,40,4757 Texas Trail,3136,VIC,Australia,9,Platinum
0.0,10,6435.099999999999,1,1,1,111,3,gold,Male,21,1958-02-21,Property,Mass Customer,0,17.0,64.27923660408516,60,6 Canary Plaza,2223,NSW,Australia,8,Platinum
14.0,9,6003.05,1,1,1,111,3,gold,Female,37,1989-07-26,Retail,Mass Customer,0,18.0,32.85353997787106,30,9 Northridge Lane,2340,NSW,Australia,3,Platinum
16.0,9,4473.87,1,1,1,111,3,gold,Male,73,1998-12-30,Financial Services,High Net Worth,1,3.0,23.424188245802636,20,1 Cottonwood Street,3150,VIC,Australia,9,Platinum
12.0,8,10787.599999999999,1,1,1,111,3,gold,Male,92,1973-07-03,Financial Services,High Net Worth,1,13.0,48.91684038787263,50,25 Darwin Terrace,2207,NSW,Australia,9,Platinum
6.0,10,5503.889999999999,1,1,1,111,3,gold,Female,27,1975-11-01,Health,Mass Customer,1,14.0,46.58688152492542,50,53649 Mandrake Place,2749,NSW,Australia,8,Platinum
1.0,9,8953.17,1,1,1,111,3,gold,Female,30,1973-10-23,Health,Affluent Customer,0,11.0,48.61019480308992,50,8044 Emmet Hill,3150,VIC,Australia,9,Platinum
15.0,10,5508.8,1,1,1,111,3,gold,Female,93,1998-11-15,Retail,High Net Worth,0,1.0,23.547394061117117,20,1231 Grim Road,2760,NSW,Australia,8,Platinum
12.0,9,4371.16,1,1,1,111,3,gold,Male,42,1978-08-07,Manufacturing,Affluent Customer,0,16.0,43.82159544786702,40,3 Luster Junction,2323,NSW,Australia,4,Platinum
12.0,9,6036.1900000000005,1,1,1,111,3,gold,Female,73,1985-05-04,Retail,Mass Customer,0,10.0,37.080868396661316,40,73 Glacier Hill Drive,2880,NSW,Australia,1,Platinum
5.0,12,5333.66,1,1,1,111,3,gold,Male,72,1976-12-02,Financial Services,Mass Customer,1,21.0,45.499932443150975,50,28 5th Center,4413,QLD,Australia,3,Platinum
7.0,10,5426.700000000001,1,1,1,111,3,gold,Male,78,1957-07-30,Manufacturing,Mass Customer,1,14.0,64.84324544752478,60,88545 Milwaukee Center,3022,VIC,Australia,8,Platinum
10.0,9,7024.709999999999,1,1,1,111,3,gold,Male,2,1973-01-18,Retail,Mass Customer,1,5.0,49.37133295103273,50,58563 Monterey Hill,4300,QLD,Australia,2,Platinum
5.0,11,6808.179999999999,1,1,1,111,3,gold,Male,96,1980-09-10,Financial Services,Mass Customer,1,19.0,41.72709658752081,40,00283 Loftsgordon Center,4118,QLD,Australia,5,Platinum
9.0,10,7075.580000000002,1,1,1,111,3,gold,Male,20,1987-10-07,Financial Services,Mass Customer,0,18.0,34.65508278846949,30,8108 Clyde Gallagher Crossing,3756,VIC,Australia,4,Platinum
0.0,10,5925.74,1,1,1,111,3,gold,Female,10,1998-04-28,Property,Mass Customer,0,2.0,24.09771336952181,20,82 Warrior Hill,3174,VIC,Australia,8,Platinum
2.0,8,6305.6,1,1,1,111,3,gold,Female,16,1961-07-17,Manufacturing,High Net Worth,0,12.0,60.87875610140542,60,93446 Eagle Crest Plaza,2229,NSW,Australia,10,Platinum
8.0,8,6639.849999999999,1,1,1,111,3,gold,Female,46,1979-08-02,Health,High Net Worth,0,15.0,42.83594892535116,40,42 Dahle Parkway,3806,VIC,Australia,7,Platinum
7.0,9,6338.489999999999,1,1,1,111,3,gold,Female,46,1985-12-22,Health,High Net Worth,0,16.0,36.44567397103998,40,54 Sage Plaza,4726,QLD,Australia,1,Platinum
12.0,9,4732.84,1,1,1,111,3,gold,Male,69,1993-05-14,Health,High Net Worth,0,6.0,29.053325052171008,30,43811 Golf View Road,3380,VIC,Australia,1,Platinum
15.0,9,6736.53,1,1,1,111,3,gold,Male,9,1970-06-19,Telecommunications,Mass Customer,0,19.0,51.95591716562988,50,5 Springview Terrace,3620,VIC,Australia,4,Platinum
9.0,8,8499.59,1,1,1,111,3,gold,Male,20,1977-12-09,Property,Mass Customer,1,10.0,44.48143103655125,40,2 Southridge Crossing,2763,NSW,Australia,8,Platinum
1.0,10,4778.33,1,1,1,111,3,gold,Female,97,1989-01-30,Financial Services,High Net Worth,1,9.0,33.33814951810802,30,57 Gulseth Terrace,2099,NSW,Australia,10,Platinum
2.0,8,7228.799999999999,1,1,1,111,3,gold,Female,56,1967-10-01,Health,Affluent Customer,1,6.0,54.67192091656248,50,176 Sutteridge Alley,3121,VIC,Australia,11,Platinum
5.0,10,6252.43,1,1,1,111,3,gold,Male,12,1987-03-24,Telecommunications,High Net Worth,0,17.0,35.19445046884623,40,2 Dixon Crossing,3910,VIC,Australia,7,Platinum
4.0,11,6580.56,1,1,1,111,3,gold,Female,54,1994-05-18,Retail,Affluent Customer,0,8.0,28.043037366592248,30,24596 Hoepker Avenue,2322,NSW,Australia,4,Platinum
9.0,12,8104.54,1,1,1,111,3,gold,Male,33,2000-06-06,Health,Affluent Customer,0,2.0,21.989524974140657,20,44 Ramsey Road,2515,NSW,Australia,9,Platinum
9.0,8,5242.410000000001,1,1,1,111,3,gold,Male,69,1955-02-24,Financial Services,Affluent Customer,1,17.0,67.27176896272358,70,2640 Manley Point,2166,NSW,Australia,9,Platinum
2.0,10,4973.950000000001,1,1,1,111,3,gold,Male,83,1956-06-07,Manufacturing,Mass Customer,1,10.0,65.98769057644598,70,09810 Dayton Hill,4035,QLD,Australia,8,Platinum
4.0,9,5779.65,1,1,1,111,3,gold,Male,74,1967-01-22,Health,Mass Customer,1,14.0,55.36187348232358,60,73042 Roth Crossing,2100,NSW,Australia,11,Platinum
13.0,9,4705.65,1,1,1,111,3,gold,Male,84,1989-06-21,Property,Mass Customer,1,4.0,32.94936672311565,30,7258 Mandrake Terrace,3138,VIC,Australia,9,Platinum
17.0,8,4821.9,1,1,1,111,3,gold,Female,77,1978-12-10,Retail,Mass Customer,1,18.0,43.479357071993455,40,5 Stone Corner Parkway,2093,NSW,Australia,9,Platinum
4.0,8,6474.5,1,1,1,111,3,gold,Male,52,1963-07-17,Financial Services,Mass Customer,0,4.0,58.880083986303816,60,86 Menomonie Plaza,2290,NSW,Australia,4,Platinum
6.0,10,5020.670000000001,1,1,1,111,3,gold,Male,1,1988-04-07,Financial Services,Mass Customer,0,15.0,34.154045806190595,30,2 Spohn Court,2750,NSW,Australia,9,Platinum
12.0,10,7287.87,1,1,1,111,3,gold,Female,76,1986-02-06,Financial Services,Affluent Customer,0,6.0,36.31973024871851,40,7798 Westport Trail,4031,QLD,Australia,9,Platinum
1.0,10,4842.2,1,1,1,111,3,gold,Male,36,1964-12-13,Manufacturing,Mass Customer,0,8.0,57.47006187770473,60,08260 Jay Court,3191,VIC,Australia,11,Platinum
4.0,14,4841.71,1,1,1,111,3,gold,Male,5,1995-03-21,Health,Mass Customer,1,3.0,27.202499915446776,30,4297 Emmet Lane,2170,NSW,Australia,8,Platinum
7.0,11,6264.88,1,1,1,111,3,gold,Female,95,1976-08-27,Financial Services,High Net Worth,1,8.0,45.76550942282886,50,11 Mifflin Junction,2193,NSW,Australia,10,Platinum
2.0,9,4557.65,1,1,1,111,3,gold,Male,97,1998-06-13,Financial Services,Mass Customer,0,3.0,23.971769647200336,20,079 Merry Park,2160,NSW,Australia,9,Platinum
2.0,8,4666.64,1,1,1,111,3,gold,Male,32,1961-08-19,Financial Services,High Net Worth,1,10.0,60.788405170174805,60,11 Victoria Place,2036,NSW,Australia,11,Platinum
9.0,11,5817.4400000000005,1,1,1,111,3,gold,Male,23,1961-06-02,Entertainment,Mass Customer,0,20.0,61.00196191671991,60,1 Fairview Park,3977,VIC,Australia,7,Platinum
4.0,10,4183.81,1,1,1,111,3,gold,Male,19,1980-04-15,Health,Mass Customer,0,15.0,42.13230682455511,40,0 Fremont Court,3023,VIC,Australia,7,Platinum
13.0,8,5035.8,1,1,1,111,3,gold,Female,3,1973-04-11,Manufacturing,Mass Customer,0,7.0,49.14408666945268,50,66238 Old Gate Circle,4157,QLD,Australia,9,Platinum
2.0,8,6520.130000000001,1,1,1,111,3,gold,Male,22,1962-09-18,Manufacturing,High Net Worth,1,18.0,59.70693190241434,60,4171 Beilfuss Street,3153,VIC,Australia,8,Platinum
5.0,9,5580.570000000001,1,1,1,111,3,gold,Female,5,1974-01-14,Argiculture,Affluent Customer,1,21.0,48.382948521509874,50,06495 Swallow Terrace,2759,NSW,Australia,9,Platinum
1.0,10,4290.8099999999995,1,1,1,111,3,gold,Male,65,1959-10-14,Entertainment,Mass Customer,0,12.0,62.63649239989205,60,2558 Morningstar Center,4221,QLD,Australia,8,Platinum
15.0,8,2415.1600000000003,1,1,2,112,4,silver,Male,21,1986-01-16,Health,Affluent Customer,0,4.0,36.37722629586526,40,8 Eagle Crest Circle,2137,NSW,Australia,12,Very Loyal
16.0,9,2787.95,1,1,2,112,4,silver,Female,36,1961-03-01,Health,Mass Customer,0,7.0,61.256587268369834,60,5705 Spaight Place,3067,VIC,Australia,9,Very Loyal
5.0,8,1943.5099999999998,1,1,2,112,4,silver,Male,90,1992-05-08,Health,Affluent Customer,1,7.0,30.069088551763745,30,76085 Eagan Crossing,3071,VIC,Australia,10,Very Loyal
12.0,8,2248.1699999999996,1,1,2,112,4,silver,Male,72,1968-06-21,Financial Services,Mass Customer,0,5.0,53.94911346671751,50,5 Porter Road,4014,QLD,Australia,6,Very Loyal
14.0,8,2789.25,1,1,2,112,4,silver,Female,1,1980-03-31,Health,Mass Customer,1,11.0,42.17337542965994,40,5298 Nevada Circle,3500,VIC,Australia,1,Very Loyal
5.0,8,2216.9700000000003,1,1,2,112,4,silver,Female,46,1973-06-24,IT,Mass Customer,1,12.0,48.94148155093553,50,55326 Fulton Hill,3931,VIC,Australia,10,Very Loyal
11.0,8,2481.1899999999996,1,1,2,112,4,silver,Female,46,1977-12-16,Telecommunications,Mass Customer,0,10.0,44.46226568750233,40,1693 Artisan Hill,2259,NSW,Australia,6,Very Loyal
12.0,8,2447.54,1,1,2,112,4,silver,Male,49,1999-02-05,Manufacturing,Affluent Customer,1,2.0,23.322885686544062,20,0349 Farmco Terrace,2168,NSW,Australia,8,Very Loyal
16.0,9,2570.54,1,1,2,112,4,silver,Male,6,1988-12-19,Health,Affluent Customer,1,16.0,33.45314161240154,30,8 Northridge Drive,2072,NSW,Australia,10,Very Loyal
4.0,8,2357.8,1,1,2,112,4,silver,Female,87,1991-04-11,Manufacturing,Mass Customer,0,12.0,31.145086005510226,30,2 Thierer Lane,3437,VIC,Australia,8,Very Loyal
13.0,9,2201.86,1,1,2,112,4,silver,Male,30,1980-09-24,Financial Services,High Net Worth,0,20.0,41.688765889422974,40,2699 Crest Line Way,4869,QLD,Australia,4,Very Loyal
18.0,8,2487.67,1,1,2,112,4,silver,Female,87,1974-01-30,Manufacturing,High Net Worth,1,10.0,48.33914200939806,50,9499 Alpine Drive,3175,VIC,Australia,8,Very Loyal
11.0,8,2059.05,1,1,2,112,4,silver,Male,64,1974-06-19,Health,Mass Customer,0,14.0,47.95583502841967,50,9200 Continental Center,3165,VIC,Australia,10,Very Loyal
